,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
3700,650.75,619.75,Epithelium,1,Positive,1,0.376684,0.376684
3701,305.75,621.5,Epithelium,1,Positive,1,0.314954,0.314954
3702,328.0,621.25,Epithelium,1,Positive,1,0.536236,0.536236
3703,284.25,621.5,Epithelium,1,Positive,1,0.459669,0.459669
3704,530.0,622.5,Epithelium,1,Positive,1,0.542852,0.542852
3705,419.5,621.75,Epithelium,1,Positive,1,0.468992,0.468992
3706,633.25,622.0,Epithelium,1,Positive,1,0.66223,0.66223
3707,314.5,623.25,Epithelium,1,Positive,1,1.071166,1.071166
3708,569.0,626.5,Epithelium,1,Positive,1,0.953877,0.953877
3709,516.75,624.0,Epithelium,1,Positive,1,1.089539,1.089539
3710,439.5,625.0,Epithelium,1,Positive,1,1.085151,1.085151
3711,470.75,626.75,Epithelium,1,Positive,1,1.766031,1.766031
3712,612.0,624.5,Epithelium,1,Positive,1,0.728271,0.728271
3713,479.5,624.0,Epithelium,1,Positive,1,1.472862,1.472862
3714,647.25,625.75,Epithelium,1,Positive,1,0.554585,0.554585
3715,454.25,626.5,Epithelium,1,Positive,1,0.520156,0.520156
3716,627.0,625.75,Epithelium,1,Positive,1,0.736282,0.736282
