,x,y,Celltype,Celltype_asNumeric,Epithelium,Epithelium_asNumeric,CD4,CD4_asNumeric
126,238.5,295.25,T Helper Cell,5,Negative,0,4.632693,4.632693
127,205.5,296.5,T Helper Cell,5,Negative,0,9.05405,9.05405
128,459.5,296.5,T Helper Cell,5,Negative,0,3.138272,3.138272
129,257.25,301.0,T Helper Cell,5,Negative,0,19.712496,19.712496
130,222.0,299.5,T Helper Cell,5,Negative,0,3.513573,3.513573
131,238.5,307.75,T Helper Cell,5,Negative,0,3.530383,3.530383
132,265.0,304.0,T Helper Cell,5,Negative,0,5.248529,5.248529
133,220.5,312.25,T Helper Cell,5,Negative,0,3.531952,3.531952
134,439.75,315.25,T Helper Cell,5,Negative,0,3.462958,3.462958
135,229.75,327.0,T Helper Cell,5,Negative,0,7.347713,7.347713
136,236.75,326.75,T Helper Cell,5,Negative,0,11.426832,11.426832
137,220.0,339.75,T Helper Cell,5,Negative,0,10.185215,10.185215
138,134.25,340.0,T Helper Cell,5,Negative,0,3.168571,3.168571
139,232.5,343.25,T Helper Cell,5,Negative,0,3.248981,3.248981
140,302.0,345.25,T Helper Cell,5,Negative,0,3.431915,3.431915
141,289.25,352.25,T Helper Cell,5,Negative,0,10.857985,10.857985
142,238.75,357.0,T Helper Cell,5,Negative,0,16.532846,16.532846
143,260.25,363.5,T Helper Cell,5,Negative,0,7.505744,7.505744
144,271.75,362.0,T Helper Cell,5,Negative,0,3.172225,3.172225
145,245.0,364.0,T Helper Cell,5,Negative,0,12.795738,12.795738
146,283.25,363.0,T Helper Cell,5,Negative,0,3.149788,3.149788
147,334.25,371.5,T Helper Cell,5,Negative,0,5.58237,5.58237
148,269.75,373.5,T Helper Cell,5,Negative,0,15.885582,15.885582
149,345.0,374.5,T Helper Cell,5,Negative,0,3.950262,3.950262
150,276.75,373.75,T Helper Cell,5,Negative,0,3.727437,3.727437
151,327.5,374.75,T Helper Cell,5,Negative,0,23.211626,23.211626
152,262.5,376.0,T Helper Cell,5,Negative,0,12.969283,12.969283
153,318.75,384.0,T Helper Cell,5,Negative,0,11.475483,11.475483
154,276.0,382.75,T Helper Cell,5,Negative,0,6.45504,6.45504
155,266.25,385.0,T Helper Cell,5,Negative,0,16.384726,16.384726
156,330.25,385.0,T Helper Cell,5,Negative,0,4.004465,4.004465
157,168.0,389.5,T Helper Cell,5,Negative,0,3.766301,3.766301
158,268.0,396.25,T Helper Cell,5,Negative,0,15.806,15.806
159,313.25,395.25,T Helper Cell,5,Negative,0,13.50131,13.50131
160,266.0,409.0,T Helper Cell,5,Negative,0,12.088784,12.088784
161,307.5,410.25,T Helper Cell,5,Negative,0,14.870163,14.870163
162,286.5,403.75,T Helper Cell,5,Negative,0,3.110583,3.110583
163,600.25,39.5,T Helper Cell,5,Negative,0,7.359906,7.359906
164,634.25,59.5,T Helper Cell,5,Negative,0,5.802307,5.802307
165,753.25,81.5,T Helper Cell,5,Negative,0,14.07172,14.07172
166,731.25,88.5,T Helper Cell,5,Negative,0,3.155069,3.155069
167,738.25,92.5,T Helper Cell,5,Negative,0,15.348001,15.348001
168,853.5,113.5,T Helper Cell,5,Negative,0,11.422289,11.422289
169,854.25,127.5,T Helper Cell,5,Negative,0,4.365088,4.365088
170,855.25,159.25,T Helper Cell,5,Negative,0,14.131692,14.131692
171,859.0,174.5,T Helper Cell,5,Negative,0,7.675941,7.675941
172,479.75,228.0,T Helper Cell,5,Negative,0,7.130969,7.130969
173,488.75,230.5,T Helper Cell,5,Negative,0,10.21331,10.21331
174,484.5,244.75,T Helper Cell,5,Negative,0,4.466687,4.466687
175,488.25,253.25,T Helper Cell,5,Negative,0,10.630405,10.630405
176,486.5,265.0,T Helper Cell,5,Negative,0,3.690783,3.690783
177,475.5,275.5,T Helper Cell,5,Negative,0,4.41926,4.41926
178,523.5,274.5,T Helper Cell,5,Negative,0,4.056649,4.056649
179,728.0,285.0,T Helper Cell,5,Negative,0,4.145079,4.145079
180,721.75,320.5,T Helper Cell,5,Negative,0,13.11893,13.11893
181,760.75,333.0,T Helper Cell,5,Negative,0,3.200661,3.200661
182,480.0,346.5,T Helper Cell,5,Negative,0,4.760373,4.760373
183,724.0,357.75,T Helper Cell,5,Negative,0,16.372005,16.372005
184,733.25,361.0,T Helper Cell,5,Negative,0,15.473826,15.473826
185,757.5,368.75,T Helper Cell,5,Negative,0,3.952892,3.952892
186,764.75,374.25,T Helper Cell,5,Negative,0,10.359097,10.359097
187,844.5,373.5,T Helper Cell,5,Negative,0,8.345679,8.345679
188,562.25,417.75,T Helper Cell,5,Negative,0,9.383618,9.383618
189,891.5,227.25,T Helper Cell,5,Negative,0,5.291201,5.291201
190,890.5,267.75,T Helper Cell,5,Negative,0,4.578824,4.578824
191,894.0,279.25,T Helper Cell,5,Negative,0,6.93373,6.93373
192,897.75,288.5,T Helper Cell,5,Negative,0,7.456189,7.456189
193,896.75,346.75,T Helper Cell,5,Negative,0,3.214582,3.214582
194,891.75,351.0,T Helper Cell,5,Negative,0,8.473561,8.473561
195,895.5,358.0,T Helper Cell,5,Negative,0,3.239706,3.239706
196,902.75,359.75,T Helper Cell,5,Negative,0,3.226444,3.226444
197,919.75,361.5,T Helper Cell,5,Negative,0,6.9196,6.9196
198,15.25,707.0,T Helper Cell,5,Negative,0,4.437802,4.437802
199,5.75,708.5,T Helper Cell,5,Negative,0,3.830859,3.830859
200,15.0,715.0,T Helper Cell,5,Negative,0,5.636986,5.636986
201,4.5,727.0,T Helper Cell,5,Negative,0,6.153582,6.153582
202,41.0,737.75,T Helper Cell,5,Negative,0,6.199478,6.199478
203,7.25,752.5,T Helper Cell,5,Negative,0,6.459551,6.459551
204,38.0,777.25,T Helper Cell,5,Negative,0,3.344875,3.344875
205,279.25,428.25,T Helper Cell,5,Negative,0,6.673427,6.673427
206,77.0,465.0,T Helper Cell,5,Negative,0,10.000188,10.000188
207,169.0,468.25,T Helper Cell,5,Negative,0,12.745982,12.745982
208,159.25,477.0,T Helper Cell,5,Negative,0,6.287298,6.287298
209,165.5,483.25,T Helper Cell,5,Negative,0,6.950339,6.950339
210,155.75,486.75,T Helper Cell,5,Negative,0,6.403838,6.403838
211,157.25,494.25,T Helper Cell,5,Negative,0,6.447136,6.447136
212,377.25,499.25,T Helper Cell,5,Negative,0,4.846907,4.846907
213,347.25,501.5,T Helper Cell,5,Negative,0,4.428955,4.428955
214,346.0,526.75,T Helper Cell,5,Negative,0,4.722286,4.722286
215,345.75,537.75,T Helper Cell,5,Negative,0,5.158868,5.158868
216,315.0,543.75,T Helper Cell,5,Negative,0,5.276547,5.276547
217,348.0,548.5,T Helper Cell,5,Negative,0,5.471007,5.471007
218,315.0,551.5,T Helper Cell,5,Negative,0,5.568429,5.568429
219,340.0,555.75,T Helper Cell,5,Negative,0,4.390599,4.390599
220,347.25,557.75,T Helper Cell,5,Negative,0,5.000307,5.000307
221,354.0,560.25,T Helper Cell,5,Negative,0,6.078674,6.078674
222,347.5,567.25,T Helper Cell,5,Negative,0,21.532099,21.532099
223,358.25,568.25,T Helper Cell,5,Negative,0,13.928716,13.928716
224,351.25,578.75,T Helper Cell,5,Negative,0,3.075936,3.075936
225,347.0,590.75,T Helper Cell,5,Negative,0,8.267368,8.267368
226,394.75,598.25,T Helper Cell,5,Negative,0,4.504671,4.504671
227,387.25,600.75,T Helper Cell,5,Negative,0,8.23457,8.23457
228,105.0,730.25,T Helper Cell,5,Negative,0,16.669088,16.669088
229,125.5,730.75,T Helper Cell,5,Negative,0,18.221222,18.221222
230,92.75,732.75,T Helper Cell,5,Negative,0,4.179997,4.179997
231,113.25,736.0,T Helper Cell,5,Negative,0,9.485075,9.485075
232,122.5,741.0,T Helper Cell,5,Negative,0,3.530067,3.530067
233,74.75,745.5,T Helper Cell,5,Negative,0,4.01322,4.01322
234,131.75,745.5,T Helper Cell,5,Negative,0,3.809122,3.809122
235,137.0,755.0,T Helper Cell,5,Negative,0,8.783769,8.783769
236,128.5,754.5,T Helper Cell,5,Negative,0,14.825065,14.825065
237,126.25,763.75,T Helper Cell,5,Negative,0,12.942964,12.942964
238,135.0,766.0,T Helper Cell,5,Negative,0,19.892975,19.892975
239,161.5,768.0,T Helper Cell,5,Negative,0,4.350713,4.350713
240,154.75,782.0,T Helper Cell,5,Negative,0,4.12109,4.12109
241,188.25,791.5,T Helper Cell,5,Negative,0,10.080503,10.080503
242,194.25,794.0,T Helper Cell,5,Negative,0,14.98478,14.98478
243,566.75,430.75,T Helper Cell,5,Negative,0,5.554148,5.554148
244,861.5,443.5,T Helper Cell,5,Negative,0,13.132421,13.132421
245,874.0,451.0,T Helper Cell,5,Negative,0,12.592884,12.592884
246,859.75,454.25,T Helper Cell,5,Negative,0,8.130291,8.130291
247,696.25,451.25,T Helper Cell,5,Negative,0,3.719313,3.719313
248,868.5,457.25,T Helper Cell,5,Negative,0,8.28926,8.28926
249,866.0,469.5,T Helper Cell,5,Negative,0,7.988567,7.988567
250,854.75,500.75,T Helper Cell,5,Negative,0,15.173155,15.173155
251,857.25,508.25,T Helper Cell,5,Negative,0,11.744758,11.744758
252,713.75,552.25,T Helper Cell,5,Negative,0,6.651458,6.651458
253,715.0,563.25,T Helper Cell,5,Negative,0,5.444544,5.444544
254,600.0,640.25,T Helper Cell,5,Negative,0,9.698292,9.698292
255,605.5,650.0,T Helper Cell,5,Negative,0,7.55618,7.55618
